Db;Name;Comment;класс;функция ;Вызовы внутри хранимых процедур 
analizpdv;getDocErpnBy_AnalizInnInLeftJoin;Получает список полученных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnInLeftJoin;getDataInINNByAll;getErpnNoEqualReestrAllUZ_DocErpn;
analizpdv;getDocErpnBy_AnalizInnOutInnerJoinAllUZ;Получает список полученных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnInInnerJoinAllUZ;getDataOutInnByAllUZ;getReestrEqualErpnAllUZ_DocErpn;
analizpdv;getDocErpnBy_AnalizInnOutInnerJoinBranch;Получает список полученных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnInInnerJoin;-;-;
analizpdv;getDocErpnBy_AnalizInnOutLeftJoinAllUZ;Получает список выданных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnOutLeftJoinBranch;getDataOutInnByAllUZ;getErpnNoEqualReestrAllUZ_DocErpn;
analizpdv;getDocErpnBy_AnalizInnOutLeftJoinBranch;Получает список выданных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnOutLeftJoinBranch;-;-;
analizpdv;getDocReestrBy_AnalizInnInInnerJoinAllUZ;Получает список полученных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnInInnerJoin;getDataInINNByAll;getReestrEqualErpnAllUZ_DocReestr;
analizpdv;getDocReestrBy_AnalizInnInRightJoin;Получает список полученных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnInInnerJoin;getDataInINNByAll;getReestrNoEqualErpnAllUZ_DocReestr;
analizpdv;getDocReestrBy_AnalizInnOutInnerJoinAllUZ;Получает список полученных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnOutInnerJoinAllUZ;getDataOutInnByAllUZ;getReestrEqualErpnAllUZ_DocReestr;
analizpdv;getDocReestrBy_AnalizInnOutInnerJoinBranch;Получает список полученных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnOutInnerJoin;-;-;
analizpdv;getDocReestrBy_AnalizInnOutRightJoinAllUZ;Получает список выданных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnOutInnerJoinBranch;getDataOutInnByAllUZ;getReestrNoEqualErpnAllUZ_DocReestr;
analizpdv;getDocReestrBy_AnalizInnOutRightJoinBranch;Получает список выданных НН из ЕРПН  по ИПНам которые признаны ошибочними при AnalizInnOutInnerJoinBranch;-;-;
analizpdv;getReestrInEqualErpn;Возвращает массив информации с реестра полученных НН которые совпали с ЕРПН по параметрам;getDataFromReestrsByOne;getReestrInEqualErpn;
analizpdv;getReestrInEqualErpnAllUZ;Возвращает массив информации с реестра полученных НН которые совпали с ЕРПН по параметрам в целом по УЗ;getDataFromReestrsAll;getReestrInEqualErpn;
analizpdv;getReestrInNotEqualErpn;Возвращает массив информации с реестра полученных НН которые НЕ совпали с ЕРПН по параметрам;getDataFromReestrsByOne;getReestrInNotEqualErpn;
analizpdv;getReestrInNotEqualErpnAllUZ;Возвращает массив информации с реестра полученных НН которые НЕ совпали с ЕРПН по параметрам по всему УЗ;getDataFromReestrsAll;getReestrInNotEqualErpn;
analizpdv;getReestrOutEqualErpn;Возвращает массив информации с реестра выданных НН которые совпали с ЕРПН по параметрам;getDataFromReestrsByOne;getReestrOutEqualErpn;
analizpdv;getReestrOutEqualErpnAllUZ;Возвращает массив информации с реестра выданных НН которые совпали с ЕРПН по параметрам по всему УЗ;getDataFromReestrsAll;getReestrOutEqualErpn;
analizpdv;getReestrOutNotEqualErpn;Возвращает массив информации с реестра выданных НН которые НЕ совпали с ЕРПН по параметрам;getDataFromReestrsByOne;getReestrOutNotEqualErpn;
analizpdv;getReestrOutNotEqualErpnAllUZ;Возвращает массив информации с реестра выданных НН которые НЕ совпали с ЕРПН по параметрам по всему УЗ;getDataFromReestrsAll;getReestrOutNotEqualErpn;
analizpdv;getTempTable_In;Формирует временные таблицы для анализа ПДВ по кредиту в резрезе ИНН за период;;;
analizpdv;getTmpTbl_InnInnerJoin;;;;getDocErpnBy_AnalizInnInInnerJoin
;;;;;getDocReestrBy_AnalizInnInInnerJoin
analizpdv;getTmpTbl_InnLeftJoin;;;;getDocErpnBy_AnalizInnInLeftJoin
analizpdv;getTmpTbl_InnRightJoin;;;;getDocReestrBy_AnalizInnInRightJoin
analizpdv;getTmpTbl_OutAllUZ;Формирует временные таблицы для анализа ПДВ по обязательствам в резрезе ИНН за период по УЗ;;;getAnalizInnOutInnerJoinAllUZ_tmp
;;;;;getAnalizInnOutLeftJoinAllUZ
;;;;;getAnalizInnOutRightJoinAllUZ
;;;;;getTmpTbl_OutInnerJoinAllUZ
;;;;;getTmpTbl_OutLeftJoinAllUZ
;;;;;getTmpTbl_OutRightJoinAllUZ
analizpdv;getTmpTbl_OutBranch;Формирует временные таблицы для анализа ПДВ по обязательствам в резрезе ИНН за период УЗ;;;getAnalizInnOutInnerJoinBranch
;;;;;getTmpTbl_OutInnerJoin
;;;;;getTmpTbl_OutLeftJoin
analizpdv;getTmpTbl_OutInnerJoin;;;;getDocErpnBy_AnalizInnOutInnerJoinBranch
;;;;;getDocReestrBy_AnalizInnOutInnerJoinBranch
analizpdv;getTmpTbl_OutInnerJoinAllUZ;;;;getDocErpnBy_AnalizInnOutInnerJoinAllUZ
;;;;;getDocReestrBy_AnalizInnOutInnerJoinAllUZ
analizpdv;getTmpTbl_OutLeftJoin;формирование временных таблиц по левому объединению - данные только с ЕРПН по филиалу за период;;;getAnalizInnOutLeftJoinBranch
;;;;;getDocErpnBy_AnalizInnOutLeftJoinBranch
analizpdv;getTmpTbl_OutLeftJoinAllUZ;формирование временных таблиц по левому объединению - данные только с ЕРПН по филиалу за период;;;getDocErpnBy_AnalizInnOutLeftJoinBranch
analizpdv;getTmpTbl_OutRightJoin;;;;getAnalizInnOutRightJoinBranch
;;;;;getDocReestrBy_AnalizInnOutRightJoinBranch
analizpdv;getTmpTbl_OutRightJoinAllUZ;;;;getDocReestrBy_AnalizInnOutRightJoinAllUZ
analizpdv;get_erpn=reestr_by_dateCreate;Возвращает результат внутреннего соединения для данных ЕРПН и Реестров;-;-;-
